Country,Coffee type,Year,Production,Continent,Year_clean
Rwanda,Arabica,1997/98,11580000.0,Africa,1997
East Timor,Arabica,1997/98,0.0,Asia,1997
Zimbabwe,Arabica,1997/98,7800000.0,Africa,1997
Congo,Robusta,1997/98,180000.0,Africa,1997
Cuba,Arabica,1997/98,18000000.0,Central America,1997
Dominican Republic,Arabica/Robusta,1997/98,56460000.0,Central America,1997
Haiti,Arabica,1997/98,25920000.0,Central America,1997
Philippines,Robusta/Arabica,1997/98,56100000.0,Asia,1997
Tanzania,Arabica/Robusta,1997/98,37440000.0,Africa,1997
Zambia,Arabica,1997/98,2280000.0,Africa,1997
Cameroon,Robusta/Arabica,1997/98,53340000.0,Africa,1997
Central African Republic,Robusta,1997/98,6840000.0,Africa,1997
Colombia,Arabica,1997/98,727320000.0,South America,1997
Costa Rica,Arabica,1997/98,157020000.0,Central America,1997
Ivory Coast,Robusta,1997/98,249840000.0,Africa,1997
Congo,Robusta/Arabica,1997/98,48660000.0,Africa,1997
El Salvador,Arabica,1997/98,130500000.0,Central America,1997
Equatorial Guinea,Robusta,1997/98,120000.0,Africa,1997
Ethiopia,Arabica,1997/98,183420000.0,Africa,1997
Gabon,Robusta,1997/98,180000.0,Africa,1997
Ghana,Robusta,1997/98,1620000.0,Africa,1997
Guatemala,Arabica/Robusta,1997/98,253140000.0,Central America,1997
Guinea,Robusta,1997/98,10320000.0,Africa,1997
Guyana,Robusta,1997/98,0.0,South America,1997
Honduras,Arabica,1997/98,153840000.0,Central America,1997
India,Robusta/Arabica,1997/98,246540000.0,Asia,1997
Jamaica,Arabica,1997/98,2820000.0,Central America,1997
Kenya,Arabica,1997/98,52920000.0,Africa,1997
Laos,Robusta,1997/98,0.0,Asia,1997
Liberia,Robusta,1997/98,300000.0,Africa,1997
Mexico,Arabica/Robusta,1997/98,288120000.0,North America,1997
Nepal,Arabica,1997/98,0.0,Asia,1997
Nicaragua,Arabica,1997/98,65040000.0,Central America,1997
Nigeria,Robusta,1997/98,2700000.0,Africa,1997
Panama,Arabica,1997/98,13020000.0,Central America,1997
Sierra Leone,Robusta,1997/98,3000000.0,Africa,1997
Sri Lanka,Robusta/Arabica,1997/98,3480000.0,Asia,1997
Thailand,Robusta/Arabica,1997/98,77580000.0,Asia,1997
Togo,Robusta,1997/98,13260000.0,Africa,1997
Trinidad and Tobago,Robusta,1997/98,1140000.0,Central America,1997
Uganda,Robusta/Arabica,1997/98,206400000.0,Africa,1997
Venezuela,Arabica,1997/98,57060000.0,South America,1997
Vietnam,Robusta/Arabica,1997/98,418740000.0,Asia,1997
Yemen,Arabica,1997/98,0.0,Asia,1997
Angola,Robusta/Arabica,1998/99,5100000.0,Africa,1998
Bolivia,Arabica,1998/99,8280000.0,South America,1998
Brazil,Arabica/Robusta,1998/99,2205660000.0,South America,1998
Burundi,Arabica/Robusta,1998/99,29520000.0,Africa,1998
Ecuador,Arabica/Robusta,1998/99,72360000.0,South America,1998
Indonesia,Robusta/Arabica,1998/99,437760000.0,Asia,1998
Madagascar,Robusta,1998/99,59520000.0,Africa,1998
Malawi,Arabica,1998/99,3840000.0,Africa,1998
Papua New Guinea,Arabica/Robusta,1998/99,81120000.0,Oceania,1998
Paraguay,Arabica,1998/99,1920000.0,South America,1998
Peru,Arabica,1998/99,126120000.0,South America,1998
Rwanda,Arabica,1998/99,13380000.0,Africa,1998
East Timor,Arabica,1998/99,0.0,Asia,1998
Zimbabwe,Arabica,1998/99,8940000.0,Africa,1998
Congo,Robusta,1998/99,180000.0,Africa,1998
Cuba,Arabica,1998/99,16800000.0,Central America,1998
Dominican Republic,Arabica/Robusta,1998/99,29220000.0,Central America,1998
Haiti,Arabica,1998/99,26340000.0,Central America,1998
Philippines,Robusta/Arabica,1998/99,40620000.0,Asia,1998
Tanzania,Arabica/Robusta,1998/99,44340000.0,Africa,1998
